t,true_x,true_y,true_yaw,gps_x,gps_y,est_x,est_y,est_yaw
3.09,3.09,0,0,3.08096,-0.00952037,3.08007,0.0453172,0.0439941
3.1,3.1,0,0,3.10951,0.0570281,3.10304,0.0532925,0.0504555
3.11,3.11,0,0,3.0929,0.0185545,3.11303,0.0537969,0.0504527
3.12,3.12,0,0,3.11112,0.0325082,3.12301,0.0543012,0.0504045
3.13,3.13,0,0,3.11314,-0.0398582,3.133,0.054805,0.0505254
3.14,3.14,0,0,3.13183,-0.00224733,3.14298,0.0553098,0.050563
3.15,3.15,0,0,3.13787,0.00388234,3.15295,0.0558143,0.0505794
3.16,3.16,0,0,3.13403,0.00625066,3.16293,0.0563195,0.0505395
3.17,3.17,0,0,3.14185,0.00425583,3.17291,0.0568244,0.0506664
3.18,3.18,0,0,3.17554,0.0220917,3.18289,0.0573305,0.0506619
3.19,3.19,0,0,3.19138,-0.00152557,3.19287,0.0578364,0.0505543
3.2,3.2,0,0,3.20043,0.00468564,3.20122,0.0224427,0.018131
3.21,3.21,0,0,3.17196,0.00369987,3.21116,0.0226228,0.0181788
3.22,3.22,0,0,3.1942,0.0167052,3.2211,0.0228037,0.0181396
3.23,3.23,0,0,3.19275,0.00498797,3.23105,0.0229842,0.0180964
3.24,3.24,0,0,3.21294,0.0318193,3.241,0.0231643,0.0180383
3.25,3.25,0,0,3.25254,-0.00253958,3.25098,0.0233442,0.0180162
3.26,3.26,0,0,3.20934,0.0342648,3.26095,0.0235239,0.0179212
3.27,3.27,0,0,3.27484,-0.0118439,3.27092,0.0237026,0.018091
3.28,3.28,0,0,3.27844,0.0492458,3.28089,0.0238829,0.0181007
3.29,3.29,0,0,3.35247,-0.0347196,3.29088,0.0240637,0.0182013
3.3,3.3,0,0,3.23401,-0.0513732,3.25612,-0.0263495,-0.0263816
3.31,3.31,0,0,3.2793,-0.0238328,3.2657,-0.0266022,-0.0262352
